iata_code,icao_code,name,alias,
3J,JBW,Jubba Airways Kenya,,"""3J""=>""Jubba Airways Kenya"","
3K,JSA,Jetstar Asia Airways,,"""3K""=>""Jetstar Asia Airways"","
3M,GFT,Silver Airways,,"""3M""=>""Silver Airways"","
3N,URG,Air Urga,Airvantage,"""3N""=>""Air Urga"","
3O,MAC,Air Arabia Maroc,,"""3O""=>""Air Arabia Maroc"","
3Q,,Carib Aviation Limited,Yunnan Air,"""3Q""=>""Carib Aviation Limited"","
3R,DVR,Divi Divi Air,,"""3R""=>""Divi Divi Air"","
3S,,Air Antilles Express,,"""3S""=>""Air Antilles Express"","
3T,TRQ,Tarco Air,Turan Air,"""3T""=>""Tarco Air"","
3U,CSC,Sichuan Airlines,,"""3U""=>""Sichuan Airlines"","
3V,TAY,Tnt Airways,Viking Air,"""3V""=>""Tnt Airways"","
3W,MWI,Malawian Airlines,,"""3W""=>""Malawian Airlines"","
3X,,Premier Trans Aire,,"""3X""=>""Premier Trans Aire"","
3Z,TVP,Travel Service Polska,,"""3Z""=>""Travel Service Polska"","
4A,AMP,Aero Transporte,ATSA,"""4A""=>""Aero Transporte"","
4B,TUP,Aviastar TU,,"""4B""=>""Aviastar TU"","
4C,ARE,LATAM Colombia,,"""4C""=>""LATAM Colombia"","
4D,ASD,Air Sinai,,"""4D""=>""Air Sinai"","
4E,TNR,Tanana Air Service,,"""4E""=>""Tanana Air Service"","
4F,FDT,Freedom Airline Express,,"""4F""=>""Freedom Airline Express"","
4G,GZP,Gazpromavia,,"""4G""=>""Gazpromavia"","
4H,,United Airways Bangladesh,Trans Pacific,"""4H""=>""United Airways Bangladesh"","
4I,IZM,Ihy Izmir Havayollari,,"""4I""=>""Ihy Izmir Havayollari"","
4J,,Flydamas Airlines,,"""4J""=>""Flydamas Airlines"","
4K,KBA,Kenn Borek Air,,"""4K""=>""Kenn Borek Air"","
4L,,Palau National Airlines,,"""4L""=>""Palau National Airlines"","
4M,DSM,LATAM Argentina,,"""4M""=>""LATAM Argentina"","
4N,,Air North,,"""4N""=>""Air North"","
4O,AIJ,Interjet,,"""4O""=>""Interjet"","
4P,,Travel Air,,"""4P""=>""Travel Air"","
4Q,SFW,Safi Airways,,"""4Q""=>""Safi Airways"","
4R,SEK,Star East Airline,,"""4R""=>""Star East Airline"","
4S,STB,Star Airways,Aerohonduras,"""4S""=>""Star Airways"","
4T,,Belair Airlines,Russian Air,"""4T""=>""Belair Airlines"","
4U,GWI,Germanwings,,"""4U""=>""Germanwings"","
4V,,Lacbravo,,"""4V""=>""Lacbravo"","
4W,VNA,Warbelows Air Ventures,,"""4W""=>""Warbelows Air Ventures"","
4X,ANX,Atlantic Express Airline,,"""4X""=>""Atlantic Express Airline"","
4Y,TUD,Flight Alaska,Yute Air Alaska,"""4Y""=>""Flight Alaska"","
4Z,LNK,Airlink,,"""4Z""=>""Airlink"","
5B,BSX,Bassaka Air,,"""5B""=>""Bassaka Air"","
5C,,Nature Air,,"""5C""=>""Nature Air"","
5D,SLI,Aeroméxico Connect,Aeromexico Connect,"""5D""=>""Aeroméxico Connect"","
5E,JTM,East Coast Flight Services,,"""5E""=>""East Coast Flight Services"","
5F,FIA,Fly One,,"""5F""=>""Fly One"","
5H,FFV,Five Fourty Aviation,,"""5H""=>""Five Fourty Aviation"","
5I,,ALSA,Alsa Grupo SLU,"""5I""=>""ALSA"","
5J,CEB,Cebu Pacific,,"""5J""=>""Cebu Pacific"","
5K,HFY,Hi Fly,,"""5K""=>""Hi Fly"","
5L,,Fly Salone,,"""5L""=>""Fly Salone"","
5M,MNT,Montserrat Airways,Sibaviatrans,"""5M""=>""Montserrat Airways"","
5N,AUL,Jsc Nordavia,Jsc Nordavia,"""5N""=>""Jsc Nordavia"","
5O,FPO,ASL Airlines France,,"""5O""=>""ASL Airlines France"","
5P,PCP,PAL Airlines,Aerolinea Principal Chile,"""5P""=>""PAL Airlines"","
5R,RUC,RUTACA Airlines,,"""5R""=>""RUTACA Airlines"","
5S,PSV,Servicios Aereos Profesionales,,"""5S""=>""Servicios Aereos Profesionales"","
5T,MPE,Canadian North,,"""5T""=>""Canadian North"","
5U,TGU,Transportes Aéreos Guatemaltecos,,"""5U""=>""Transportes Aéreos Guatemaltecos"","
5V,,Everts,Lviv Airlines,"""5V""=>""Everts"","
5W,,WESTBahn,,"""5W""=>""WESTBahn"","
5X,UPS,UPS Airlines,,"""5X""=>""UPS Airlines"","
5Y,GTI,Atlas Air,,"""5Y""=>""Atlas Air"","
5Z,KEM,CemAir,,"""5Z""=>""CemAir"","
6A,AMW,Armenia Airways,,"""6A""=>""Armenia Airways"","
6B,BLX,Tuifly Nordic,Britannia,"""6B""=>""Tuifly Nordic"","
6C,,Air Timor,,"""6C""=>""Air Timor"","
6D,TVQ,Travel Service Slovensko,,"""6D""=>""Travel Service Slovensko"","
6E,IGO,IndiGo,,"""6E""=>""IndiGo"","
6F,PRW,Primera Air Nordic,,"""6F""=>""Primera Air Nordic"","
6G,LTD,Executive Express Aviation,,"""6G""=>""Executive Express Aviation"","
6H,ISR,Israir Airlines,Israir Airlin,"""6H""=>""Israir Airlines"","
6I,,Air Alsie,,"""6I""=>""Air Alsie"","
6J,,Solaseed Air,,"""6J""=>""Solaseed Air"","
6K,SGB,Songbird Airways,,"""6K""=>""Songbird Airways"","
6L,AKK,Aklak Air,,"""6L""=>""Aklak Air"","
6M,,Air Minas Linhas Aereas,,"""6M""=>""Air Minas Linhas Aereas"","
6N,NIN,Niger Airlines,,"""6N""=>""Niger Airlines"","
6O,OBS,Orbest,,"""6O""=>""Orbest"","
6Q,SAW,Cham Wings Airlines,Slovak Arlines,"""6Q""=>""Cham Wings Airlines"","
6R,DRU,ALROSA,,"""6R""=>""ALROSA"","
6S,SGQ,Saudi Gulf Airlines,,"""6S""=>""Saudi Gulf Airlines"","
6T,,Air Mandalay,,"""6T""=>""Air Mandalay"","
6V,,Avanza,Mars Rk,"""6V""=>""Avanza"","
6W,,Saratov Airlines,,"""6W""=>""Saratov Airlines"","
6Y,ART,SmartLynx Airlines,,"""6Y""=>""SmartLynx Airlines"","
6Z,,Eurasia Air,,"""6Z""=>""Eurasia Air"","
7A,XRC,Express Air Cargo,,"""7A""=>""Express Air Cargo"","
7B,,Fly Blue Crane,,"""7B""=>""Fly Blue Crane"","
7C,JJA,Jeju Air,,"""7C""=>""Jeju Air"","
7D,,MGC Aviation,,"""7D""=>""MGC Aviation"","
7E,AWU,Sylt Air,,"""7E""=>""Sylt Air"","
7F,FAB,First Air,First Air,"""7F""=>""First Air"","
7G,SFJ,StarFlyer,,"""7G""=>""StarFlyer"","
7H,RVF,Ravn Alaska,,"""7H""=>""Ravn Alaska"","
7I,INC,Insel Air International,,"""7I""=>""Insel Air International"","
7J,TJK,Tajik Air,,"""7J""=>""Tajik Air"","
7K,,Kogalymavia Airlines,,"""7K""=>""Kogalymavia Airlines"","
7L,CRN,Aero Caribbean,,"""7L""=>""Aero Caribbean"","
7M,MYI,Mayair,Aeromonterr,"""7M""=>""Mayair"","
7N,PWD,PAWA Dominicana,,"""7N""=>""PAWA Dominicana"","
7O,TVL,Travel Service Hungary,,"""7O""=>""Travel Service Hungary"","
7P,PST,Air Panama,,"""7P""=>""Air Panama"","
7Q,,Elite Airways,,"""7Q""=>""Elite Airways"","
7R,RLU,RusLine,,"""7R""=>""RusLine"","
7S,RYA,Ryan Air Services,,"""7S""=>""Ryan Air Services"","
7T,,Trenitalia,,"""7T""=>""Trenitalia"","
7U,,Alpha Air Transport,,"""7U""=>""Alpha Air Transport"","
7V,,Federal Airlines,Federal Airlines,"""7V""=>""Federal Airlines"","
7W,WRC,Wind Rose Aviation,,"""7W""=>""Wind Rose Aviation"","
7Y,MYP,Mann Yadanarpon Airlines,,"""7Y""=>""Mann Yadanarpon Airlines"","
7Z,,Halcyon Air Cabo Verde,,"""7Z""=>""Halcyon Air Cabo Verde"","
8A,,Panama Airways,,"""8A""=>""Panama Airways"","
8B,TNU,TransNusa Air Services,,"""8B""=>""TransNusa Air Services"","
8C,ATN,Air Transport International,,"""8C""=>""Air Transport International"","
8D,,Servant Air,,"""8D""=>""Servant Air"","
8E,BRG,Bering Air,,"""8E""=>""Bering Air"","
8F,STP,STP Airways,,"""8F""=>""STP Airways"","
8G,MFG,Mid Africa Aviation,,"""8G""=>""Mid Africa Aviation"","
8H,BGH,BH Air,,"""8H""=>""BH Air"","
8I,NLU,Insel Air Aruba,,"""8I""=>""Insel Air Aruba"","
8J,,Línea Aerea Eco Jet,,"""8J""=>""Línea Aerea Eco Jet"","
8L,LKE,Lucky Air,,"""8L""=>""Lucky Air"","
8M,MMA,Myanmar Airways International,,"""8M""=>""Myanmar Airways International"","
8N,REG,Regional Air Services,,"""8N""=>""Regional Air Services"","
8P,PCO,Pacific Coastal Airlines,Pac Coastal,"""8P""=>""Pacific Coastal Airlines"","
8Q,OHY,Onur Air,,"""8Q""=>""Onur Air"","
8R,OLS,Sol Líneas Aéreas,,"""8R""=>""Sol Líneas Aéreas"","
8S,,Shun Tak China,,"""8S""=>""Shun Tak China"","
8T,TID,Air Tindi,,"""8T""=>""Air Tindi"","
8U,AAW,Afriqiyah Airways,,"""8U""=>""Afriqiyah Airways"","
8V,ACP,Astral Aviation,,"""8V""=>""Astral Aviation"","
8W,EDR,Fly All Ways Airlines,,"""8W""=>""Fly All Ways Airlines"","
8Y,AAV,Pan Pacific Airlines,,"""8Y""=>""Pan Pacific Airlines"","
8Z,CGA,Congo Airways,,"""8Z""=>""Congo Airways"","
9A,,Aladia Airlines,Airatlantic,"""9A""=>""Aladia Airlines"","
9B,,AccesRail,,"""9B""=>""AccesRail"","
9C,CQH,Spring Airlines,,"""9C""=>""Spring Airlines"","
9E,FLG,Endeavor Air,,"""9E""=>""Endeavor Air"","
9F,,Eurostar,,"""9F""=>""Eurostar"","
9G,,9G Rail,,"""9G""=>""9G Rail"","
9H,CGN,Chang An Airlines,,"""9H""=>""Chang An Airlines"","
9I,LLR,Air India Regional,,"""9I""=>""Air India Regional"","
9J,DAN,Dana Air,,"""9J""=>""Dana Air"","
9K,KAP,Cape Air,,"""9K""=>""Cape Air"","
9L,WLN,West Link Airways,,"""9L""=>""West Link Airways"","
9M,GLR,Central Mountain Air,,"""9M""=>""Central Mountain Air"","
9N,TOS,Tropic Air,,"""9N""=>""Tropic Air"","
9P,PTR,Air Arabia Jordan,Petra Airlines,"""9P""=>""Air Arabia Jordan"","
9Q,CXE,Caicos Express Airways,PB Air,"""9Q""=>""Caicos Express Airways"","
9R,NSE,SATENA,,"""9R""=>""SATENA"","
9S,SOO,Southern Air,,"""9S""=>""Southern Air"","
9T,RUN,MyCargo Airlines,,"""9T""=>""MyCargo Airlines"","
9U,MLD,Air Moldova,,"""9U""=>""Air Moldova"","
9V,ROI,Avior Airlines,,"""9V""=>""Avior Airlines"","
9W,JAI,Jet Airways,,"""9W""=>""Jet Airways"","
9X,FDY,Southern Airways Express,,"""9X""=>""Southern Airways Express"","
A0,MCJ,Macair Jet,,"""A0""=>""Macair Jet"","
A1,,G Switch Works,,"""A1""=>""G Switch Works"","
A2,AZI,Astra Airlines,,"""A2""=>""Astra Airlines"","
A3,AEE,Aegean Airlines,,"""A3""=>""Aegean Airlines"","
A4,,Azimuth,,"""A4""=>""Azimuth"","
A5,HOP,HOP!,,"""A5""=>""HOP!"","
A6,HTU,Yunnan Hongtu Airline,,"""A6""=>""Yunnan Hongtu Airline"","
A7,CFV,Aéreo Calafia,Aereo Calafia,"""A7""=>""Aéreo Calafia"","
A8,XAU,Aerolink Uganda,,"""A8""=>""Aerolink Uganda"","
A9,,Georgian Airways,Arizena Air,"""A9""=>""Georgian Airways"","
AA,AAL,American Airlines,,"""AA""=>""American Airlines"","
AC,ACA,Air Canada,,"""AC""=>""Air Canada"","
AD,AZU,Azul Brazilian Airlines,Azul Linhas Aéreas Brasileiras,"""AD""=>""Azul Brazilian Airlines"","
AE,MDA,Mandarin Airlines,,"""AE""=>""Mandarin Airlines"","
AF,AFR,Air France,,"""AF""=>""Air France"","
AG,,Aruba Airlines,,"""AG""=>""Aruba Airlines"","
AH,DAH,Air Algerie,,"""AH""=>""Air Algerie"","
AI,AIC,Air India,,"""AI""=>""Air India"","
AJ,,Aztec Worldwide Airlines,Aerocontracto,"""AJ""=>""Aztec Worldwide Airlines"","
AK,AXM,AirAsia,,"""AK""=>""AirAsia"","
AL,ALD,Air Leisure,,"""AL""=>""Air Leisure"","
AM,AMX,AeroMexico,AeroMexico,"""AM""=>""AeroMexico"","
AN,RLA,HOP Airlinair,,"""AN""=>""HOP Airlinair"","
AP,LAV,AlbaStar,,"""AP""=>""AlbaStar"","
AQ,,9 Air,,"""AQ""=>""9 Air"","
AR,ARG,Aerolíneas Argentinas,,"""AR""=>""Aerolíneas Argentinas"","
AS,ASA,Alaska Airlines,,"""AS""=>""Alaska Airlines"","
AT,RAM,Royal Air Maroc,,"""AT""=>""Royal Air Maroc"","
AU,AUT,Austral Líneas Aéreas,Cielos del Sur,"""AU""=>""Austral Líneas Aéreas"","
AV,AVA,Avianca,,"""AV""=>""Avianca"","
AW,AFW,Africa World Airlines,,"""AW""=>""Africa World Airlines"","
AX,LOF,Trans States Airlines,,"""AX""=>""Trans States Airlines"","
AY,FIN,Finnair,,"""AY""=>""Finnair"","
AZ,AZA,Alitalia,Alitalia S.A.I.,"""AZ""=>""Alitalia"","
B0,DJT,La Compagnie,Dreamjet,"""B0""=>""La Compagnie"","
B1,,Cions Software,,"""B1""=>""Cions Software"","
B2,BRU,Belavia,,"""B2""=>""Belavia"","
B3,BTN,Bhutan Airlines,Tashi Air,"""B3""=>""Bhutan Airlines"","
B4,TAN,Zanair,,"""B4""=>""Zanair"","
B5,EXZ,Fly-SAX,,"""B5""=>""Fly-SAX"","
B6,JBU,JetBlue,,"""B6""=>""JetBlue"","
B7,UIA,Uni Airways,,"""B7""=>""Uni Airways"","
B8,ERT,Eritrean Airlines,,"""B8""=>""Eritrean Airlines"","
B9,IRB,Iran Air Tours,,"""B9""=>""Iran Air Tours"","
BA,BAW,British Airways,,"""BA""=>""British Airways"","
BB,SBS,Seaborne Airlines,,"""BB""=>""Seaborne Airlines"","
BC,SKY,Skymark Airlines,,"""BC""=>""Skymark Airlines"","
BD,BYC,Cambodia Bayon Airlines,,"""BD""=>""Cambodia Bayon Airlines"","
BE,BEE,Flybe,Brit Europ,"""BE""=>""Flybe"","
BF,FBU,French Bee,,"""BF""=>""French Bee"","
BG,BBC,Biman Bangladesh Airline,,"""BG""=>""Biman Bangladesh Airline"","
BH,BHA,Hawkair,,"""BH""=>""Hawkair"","
BI,RBA,Royal Brunei,Royalbrunei,"""BI""=>""Royal Brunei"","
BJ,LBT,Nouvelair,,"""BJ""=>""Nouvelair"","
BK,OKA,Okay Airways,Paradise Isl,"""BK""=>""Okay Airways"","
BL,PIC,Jetstar Pacific Airlines,Pacific Air,"""BL""=>""Jetstar Pacific Airlines"","
BM,BMR,bmi regional,British Midland Regional Limited,"""BM""=>""bmi regional"","
BN,,Bahrain Air,Horizon Airli,"""BN""=>""Bahrain Air"","
BO,,BB Airways,,"""BO""=>""BB Airways"","
BP,BOT,Air Botswana,,"""BP""=>""Air Botswana"","
BR,EVA,EVA Air,,"""BR""=>""EVA Air"","
BS,,US-Bangla Airlines,,"""BS""=>""US-Bangla Airlines"","
BT,BTI,airBaltic,,"""BT""=>""airBaltic"","
BU,FPY,Compagnie Africaine d'Aviation,,"""BU""=>""Compagnie Africaine d'Aviation"","
BV,BPA,Blue Panorama Airlines,Blue Panorama,"""BV""=>""Blue Panorama Airlines"","
BW,BWA,Caribbean Airlines,,"""BW""=>""Caribbean Airlines"","
BX,ABL,Air Busan,,"""BX""=>""Air Busan"","
BY,TOM,Thomson Airways,Britannia Airways,"""BY""=>""Thomson Airways"","
BZ,BBG,Bluebird Airways,,"""BZ""=>""Bluebird Airways"","
C0,CLW,Centralwings,,"""C0""=>""Centralwings"","
C1,,Tectimes Sudamerica,,"""C1""=>""Tectimes Sudamerica"","
C2,,Ceiba Intercontinental,Ceiba,"""C2""=>""Ceiba Intercontinental"","
C3,TDR,Trade Air,,"""C3""=>""Trade Air"","
C4,,Alma De Mexico,,"""C4""=>""Alma De Mexico"","
C5,UCA,CommutAir,Champlain Enterprises,"""C5""=>""CommutAir"","
C6,CJA,Canjet Airlines,Bright Airlines,"""C6""=>""Canjet Airlines"","
C7,RLE,Cinnamon Air,Saffron Aviation,"""C7""=>""Cinnamon Air"","
C8,CRA,Cronos Airlines,,"""C8""=>""Cronos Airlines"","
C9,SWZ,Skywise,Cabolor,"""C9""=>""Skywise"","
CA,CCA,Air China,,"""CA""=>""Air China"","
CC,OMT,CM Airlines,,"""CC""=>""CM Airlines"","
CD,CND,Corendon Dutch Airlines,Seaview Air,"""CD""=>""Corendon Dutch Airlines"","
CE,CLG,Chalair Aviation,Chalair,"""CE""=>""Chalair Aviation"","
CF,CYZ,China Postal Airlines,,"""CF""=>""China Postal Airlines"","
CG,TOK,PNG Air,,"""CG""=>""PNG Air"","
CH,BMJ,Bemidji Airlines,,"""CH""=>""Bemidji Airlines"","
CI,CAL,China Airlines,,"""CI""=>""China Airlines"","
CJ,CFE,BA CityFlyer,China North,"""CJ""=>""BA CityFlyer"","
CK,NDR,China Cargo Airlines,Andesmar Lin,"""CK""=>""China Cargo Airlines"","
CL,CLH,Lufthansa CityLine,,"""CL""=>""Lufthansa CityLine"","
CM,CMP,Copa Airlines,Compañía Panameña de Aviación,"""CM""=>""Copa Airlines"","
CN,GDC,Grand China Air,,"""CN""=>""Grand China Air"","
CO,FCB,Cobalt Air,,"""CO""=>""Cobalt Air"","
CP,CPZ,Compass Airlines,,"""CP""=>""Compass Airlines"","
CQ,,Coastal Travels,,"""CQ""=>""Coastal Travels"","
CR,,OAG Worldwide,,"""CR""=>""OAG Worldwide"","
CS,CXB,Comlux Aruba,,"""CS""=>""Comlux Aruba"","
CT,CYL,Alitalia CityLiner,Air One CityLiner,"""CT""=>""Alitalia CityLiner"","
CU,CUB,Cubana De Aviacion,Cubana,"""CU""=>""Cubana De Aviacion"","
CV,CLX,Cargolux,,"""CV""=>""Cargolux"","
CX,CPA,Cathay Pacific,,"""CX""=>""Cathay Pacific"","
CY,CYP,Charlie Airlines,,"""CY""=>""Charlie Airlines"","
CZ,CSN,China Southern Airlines,,"""CZ""=>""China Southern Airlines"","
D0,DHK,DHL Air UK,,"""D0""=>""DHL Air UK"","
D2,SSF,Severstal Air Company,,"""D2""=>""Severstal Air Company"","
D3,DAO,Daallo Airlines,Daallo Airlin,"""D3""=>""Daallo Airlines"","
D4,LID,DART Ltd,,"""D4""=>""DART Ltd"","
D6,INL,Interair,,"""D6""=>""Interair"","
D7,XAX,AirAsia X,,"""D7""=>""AirAsia X"","
D8,IBK,Norwegian Air International,,"""D8""=>""Norwegian Air International"","
D9,DNV,Donavia,,"""D9""=>""Donavia"","
DA,GEO,Air Georgia,Air Georgia,"""DA""=>""Air Georgia"","
DB,BZH,HOP Brit Air,,"""DB""=>""HOP Brit Air"","
DC,BRX,Braathens Regional,,"""DC""=>""Braathens Regional"","
DD,,Nok Air,,"""DD""=>""Nok Air"","
DE,CFG,Condor,,"""DE""=>""Condor"","
DF,CIB,Condor Berlin,,"""DF""=>""Condor Berlin"","
DG,SRQ,Cebgo,,"""DG""=>""Cebgo"","
DH,DTS,Douniah Airlines,,"""DH""=>""Douniah Airlines"","
DI,NRS,Norwegian Air UK,,"""DI""=>""Norwegian Air UK"","
DJ,WAJ,AirAsia Japan,,"""DJ""=>""AirAsia Japan"","
DK,VKG,Thomas Cook Airlines,Eastland Air,"""DK""=>""Thomas Cook Airlines"","
DL,DAL,Delta Air Lines,,"""DL""=>""Delta Air Lines"","
DM,DEX,Asian Air,Sterling Blue,"""DM""=>""Asian Air"","
DN,NAA,Norwegian Air Argentina,,"""DN""=>""Norwegian Air Argentina"","
DO,,Discovery Airways,Air Vallee,"""DO""=>""Discovery Airways"","
DP,,Pobeda,,"""DP""=>""Pobeda"","
DQ,DCP,Delta Connection,Coastal Air,"""DQ""=>""Delta Connection"","
DR,,Ruili Airlines,Air Link,"""DR""=>""Ruili Airlines"","
DS,EZS,easyJet Switzerland,,"""DS""=>""easyJet Switzerland"","
DT,DTA,Taag,,"""DT""=>""Taag"","
DU,NLH,Norwegian Long Haul,,"""DU""=>""Norwegian Long Haul"","
DV,VSV,SCAT Airlines,,"""DV""=>""SCAT Airlines"","
DW,GDE,Great Dane Airlines,,"""DW""=>""Great Dane Airlines"","
DX,DTR,Danish Air Transport,,"""DX""=>""Danish Air Transport"","
DY,NAX,Norwegian Air Shuttle (NAS),,"""DY""=>""Norwegian Air Shuttle (NAS)"","
DZ,,Donghai Airlines,,"""DZ""=>""Donghai Airlines"","
E2,EWE,Eurowings Europe,,"""E2""=>""Eurowings Europe"","
E3,VGO,New Gen Airways,Sabaidee Airways,"""E3""=>""New Gen Airways"","
E4,ENT,Enter Air,,"""E4""=>""Enter Air"","
E5,RBG,Air Arabia Egypt,,"""E5""=>""Air Arabia Egypt"","
E6,,Bringer Air Cargo,,"""E6""=>""Bringer Air Cargo"","
E7,,Equaflight Service,Fly European,"""E7""=>""Equaflight Service"","
E8,GTA,City Airways,,"""E8""=>""City Airways"","
E9,EVE,Evelop Airlines,,"""E9""=>""Evelop Airlines"","
EB,PLM,Wamos Air,Pullmantur Air,"""EB""=>""Wamos Air"","
EC,BOS,OpenSkies,,"""EC""=>""OpenSkies"","
ED,AXE,Air Explore,Airblue,"""ED""=>""Air Explore"","
EE,EST,Nordica,,"""EE""=>""Nordica"","
EF,,Fly CamInter,,"""EF""=>""Fly CamInter"","
EG,ETJ,East Air,Japan Asia,"""EG""=>""East Air"","
EH,AKX,ANA Wings,,"""EH""=>""ANA Wings"","
EI,EIN,Aer Lingus,,"""EI""=>""Aer Lingus"","
EJ,NEA,New England Airlines,New Englan,"""EJ""=>""New England Airlines"","
EK,UAE,Emirates,,"""EK""=>""Emirates"","
EL,ELB,Ellinair,,"""EL""=>""Ellinair"","
EM,,Aero Benin,,"""EM""=>""Aero Benin"","
EN,DLA,Air Dolomiti,Air Dolomiti,"""EN""=>""Air Dolomiti"","
EO,AGY,Air Go Egypt,,"""EO""=>""Air Go Egypt"","
EP,IRC,Iran Aseman Airlines,,"""EP""=>""Iran Aseman Airlines"","
EQ,TAE,TAME,TAME EP Línea Aérea del Ecuador,"""EQ""=>""TAME"","
ER,SEP,SereneAir,,"""ER""=>""SereneAir"","
ES,DHX,DHL International Aviation ME,,"""ES""=>""DHL International Aviation ME"","
ET,ETH,Ethiopian Airlines,,"""ET""=>""Ethiopian Airlines"","
EU,,Chengdu Airlines,Ecuatoriana,"""EU""=>""Chengdu Airlines"","
EV,ASQ,ExpressJet Airlines,,"""EV""=>""ExpressJet Airlines"","
EW,EWG,Eurowings,,"""EW""=>""Eurowings"","
EY,ETD,Etihad Airways,,"""EY""=>""Etihad Airways"","
EZ,SUS,Sun Air of Scandinavia,,"""EZ""=>""Sun Air of Scandinavia"","
F1,,Farelogix,,"""F1""=>""Farelogix"","
F2,XLK,Safarilink Aviation,,"""F2""=>""Safarilink Aviation"","
F3,FAD,Flyadeal,,"""F3""=>""Flyadeal"","
F4,WAF,Air Flamenco,Air Flamenco,"""F4""=>""Air Flamenco"","
F7,DWT,Etihad Regional,Darwin Airline,"""F7""=>""Etihad Regional"","
F8,FLE,Flair Airlines,,"""F8""=>""Flair Airlines"","
F9,FTT,Frontier Airlines,,"""F9""=>""Frontier Airlines"","
FA,SFR,Safair,,"""FA""=>""Safair"","
FB,LZB,Bulgaria Air,Balkan Air To,"""FB""=>""Bulgaria Air"","
FC,,Fly Corporate,,"""FC""=>""Fly Corporate"","
FD,AIQ,Thai AirAsia,,"""FD""=>""Thai AirAsia"","
FE,FEA,Far Eastern Air Transport,,"""FE""=>""Far Eastern Air Transport"","
FG,AFG,Ariana Afghan Airlines,Ariana,"""FG""=>""Ariana Afghan Airlines"","
FH,FHY,Freebird Airlines,Futura Intl,"""FH""=>""Freebird Airlines"","
FI,ICE,Icelandair,,"""FI""=>""Icelandair"","
FJ,FJI,Fiji Airways,Fiji Airways,"""FJ""=>""Fiji Airways"","
FK,KFA,Kelowna Flightcraft Air Charter,,"""FK""=>""Kelowna Flightcraft Air Charter"","
FL,TRS,Airtran Airways,,"""FL""=>""Airtran Airways"","
FM,CSH,Shanghai Airlines,,"""FM""=>""Shanghai Airlines"","
FN,FTZ,Fastjet,,"""FN""=>""Fastjet"","
FO,FXX,Felix Airways,,"""FO""=>""Felix Airways"","
FP,,Pelican Airlines,,"""FP""=>""Pelican Airlines"","
FR,RYR,Ryanair,,"""FR""=>""Ryanair"","
FT,FEG,FlyEgypt,,"""FT""=>""FlyEgypt"","
FU,FZA,Fuzhou Airlines,,"""FU""=>""Fuzhou Airlines"","
FV,SDM,Rossiya,,"""FV""=>""Rossiya"","
FW,IBX,Ibex Airlines,,"""FW""=>""Ibex Airlines"","
FX,FXA,Fedex,Express Air,"""FX""=>""Fedex"","
FY,FFM,Flyfirefly,,"""FY""=>""Flyfirefly"","
FZ,FDB,flydubai,Dubai Aviation Corporation,"""FZ""=>""flydubai"","
G2,,Galeyr Airline,,"""G2""=>""Galeyr Airline"","
G3,GLO,Gol Transportes Aéreos,,"""G3""=>""Gol Transportes Aéreos"","
G4,AAY,Allegiant Air,,"""G4""=>""Allegiant Air"","
G5,HXA,China Express Airlines,,"""G5""=>""China Express Airlines"","
G6,DNM,Denim Air,,"""G6""=>""Denim Air"","
G7,GJS,GoJet Airlines,,"""G7""=>""GoJet Airlines"","
G8,GOW,GoAir,,"""G8""=>""GoAir"","
G9,ABY,Air Arabia,,"""G9""=>""Air Arabia"","
GA,GIA,Garuda Indonesia,,"""GA""=>""Garuda Indonesia"","
GB,ABX,ABX Air,,"""GB""=>""ABX Air"","
GC,,Global Feeder Services,,"""GC""=>""Global Feeder Services"","
GE,TNA,TransAsia Airways,,"""GE""=>""TransAsia Airways"","
GF,GFA,Gulf Air,,"""GF""=>""Gulf Air"","
GG,KYE,Sky Lease Cargo,,"""GG""=>""Sky Lease Cargo"","
GH,GHA,Globus,Ghana Air,"""GH""=>""Globus"","
GI,IKA,Itek Air,,"""GI""=>""Itek Air"","
GJ,CDC,Zhejiang Loong Airlines,Eurofly,"""GJ""=>""Zhejiang Loong Airlines"","
GK,,Jetstar Japan,,"""GK""=>""Jetstar Japan"","
GL,GRL,Air Greenland,,"""GL""=>""Air Greenland"","
GM,GSW,Germania Flug,,"""GM""=>""Germania Flug"","
GO,GOE,Go,,"""GO""=>""Go"","
GP,RIV,APG Airlines,,"""GP""=>""APG Airlines"","
GQ,SEH,Sky Express,,"""GQ""=>""Sky Express"","
GR,AUR,Aurigny Air Services,,"""GR""=>""Aurigny Air Services"","
GS,GCR,Tianjin Airlines,,"""GS""=>""Tianjin Airlines"","
GT,CGH,Air Guilin,,"""GT""=>""Air Guilin"","
GU,GUG,Aviateca,,"""GU""=>""Aviateca"","
GV,SWV,Grant Aviation,,"""GV""=>""Grant Aviation"","
GW,SKG,SkyGreece Airlines,,"""GW""=>""SkyGreece Airlines"","
GX,,Guangxi Beibu Gulf Airlines,,"""GX""=>""Guangxi Beibu Gulf Airlines"","
GY,,Colorful Guizhou Airlines,,"""GY""=>""Colorful Guizhou Airlines"","
GZ,,Air Rarotonga,,"""GZ""=>""Air Rarotonga"","
H1,,Hahn Air Systems,,"""H1""=>""Hahn Air Systems"","
H2,SKU,Sky Airline,,"""H2""=>""Sky Airline"","
H3,HES,Harbour Air,,"""H3""=>""Harbour Air"","
H4,AEH,Aero4M,,"""H4""=>""Aero4M"","
