iata_code,icao_code,name,alias,
SU,AFL,Aeroflot,,"""SU""=>""Aeroflot"","
SV,SVA,Saudia,Saudi Arabian Airlines,"""SV""=>""Saudia"","
SW,NMB,Air Namibia,,"""SW""=>""Air Namibia"","
SX,SRK,SkyWork Airlines,,"""SX""=>""SkyWork Airlines"","
SY,SCX,Sun Country,,"""SY""=>""Sun Country"","
SZ,SMR,Somon Air,,"""SZ""=>""Somon Air"","
T0,TPU,Avianca Perú,TACA Peru,"""T0""=>""Avianca Perú"","
T1,,Tik Systems,,"""T1""=>""Tik Systems"","
T2,FLB,Fly Art,,"""T2""=>""Fly Art"","
T3,EZE,Eastern Airways,,"""T3""=>""Eastern Airways"","
T4,,Trip,,"""T4""=>""Trip"","
T5,TUA,Turkmenistan Airlines,,"""T5""=>""Turkmenistan Airlines"","
T6,ITI,ITI Air,Island Transvoyager,"""T6""=>""ITI Air"","
T7,TJT,Twin Jet,,"""T7""=>""Twin Jet"","
T9,,Aviator Aviation,,"""T9""=>""Aviator Aviation"","
TA,TAI,Avianca El Salvador,TACA Airlines,"""TA""=>""Avianca El Salvador"","
TB,JAF,TUIfly Belgium,,"""TB""=>""TUIfly Belgium"","
TC,ATC,Air Tanzania,,"""TC""=>""Air Tanzania"","
TD,,Atlantis European Airways,Atlantis,"""TD""=>""Atlantis European Airways"","
TE,IGA,Sky Taxi,,"""TE""=>""Sky Taxi"","
TF,BRA,BRA,,"""TF""=>""BRA"","
TG,THA,Thai Airways,,"""TG""=>""Thai Airways"","
TH,RMY,Raya Airways,,"""TH""=>""Raya Airways"","
TI,TWI,Tailwind Hava Yollari As,Baltic Int,"""TI""=>""Tailwind Hava Yollari As"","
TJ,GPD,Tradewind Aviation,,"""TJ""=>""Tradewind Aviation"","
TK,THY,Turkish Airlines,,"""TK""=>""Turkish Airlines"","
TL,ANO,Airnorth,Capiteq Limited,"""TL""=>""Airnorth"","
TM,LAM,Lam Mozambique,,"""TM""=>""Lam Mozambique"","
TN,THT,Air Tahiti Nui,,"""TN""=>""Air Tahiti Nui"","
TO,,Transavia France,President Air,"""TO""=>""Transavia France"","
TP,TAP,TAP Portugal,,"""TP""=>""TAP Portugal"","
TQ,TDM,Tandem Aero,,"""TQ""=>""Tandem Aero"","
TR,TGW,Tigerair,,"""TR""=>""Tigerair"","
TS,TSC,Air Transat,,"""TS""=>""Air Transat"","
TT,TGW,Tigerair Australia,,"""TT""=>""Tigerair Australia"","
TU,TAR,Tunisair,Tunis Air,"""TU""=>""Tunisair"","
TV,TBA,Tibet Airlines,,"""TV""=>""Tibet Airlines"","
TW,TWB,T'way Air,,"""TW""=>""T'way Air"","
TX,FWI,Air Caraibes,,"""TX""=>""Air Caraibes"","
TY,TPC,Air Caledonie,,"""TY""=>""Air Caledonie"","
TZ,SCO,Scoot,,"""TZ""=>""Scoot"","
U1,,Videcom International,,"""U1""=>""Videcom International"","
U2,EZY,easyJet,,"""U2""=>""easyJet"","
U3,AIA,Avies,,"""U3""=>""Avies"","
U4,BHA,Buddha Air,,"""U4""=>""Buddha Air"","
U5,,Karinou Airlines,USA 3000,"""U5""=>""Karinou Airlines"","
U6,SVR,Ural Airlines,,"""U6""=>""Ural Airlines"","
U7,,Air Uganda,Norcanair,"""U7""=>""Air Uganda"","
U8,CYF,Tus Airways,,"""U8""=>""Tus Airways"","
U9,,Tatarstan Air,,"""U9""=>""Tatarstan Air"","
UA,UAL,United Airlines,,"""UA""=>""United Airlines"","
UB,UBA,Myanmar National Airlines,UTD Myanmar,"""UB""=>""Myanmar National Airlines"","
UC,LCO,LAN Cargo,Ladeco,"""UC""=>""LAN Cargo"","
UD,HER,Hex Air,,"""UD""=>""Hex Air"","
UE,,Nasair,,"""UE""=>""Nasair"","
UF,UKM,Um Air,,"""UF""=>""Um Air"","
UG,,Tunisair Express,Tuninter,"""UG""=>""Tunisair Express"","
UH,UJX,AtlasJet Ukraine,US Helicopter,"""UH""=>""AtlasJet Ukraine"","
UI,AUK,Auric Air Services,,"""UI""=>""Auric Air Services"","
UJ,LMU,AlMasria Universal Airlines,,"""UJ""=>""AlMasria Universal Airlines"","
UK,VTI,Vistara,Tata SIA Airlines,"""UK""=>""Vistara"","
UL,ALK,SriLankan Airlines,,"""UL""=>""SriLankan Airlines"","
UM,AZW,Air Zimbabwe,,"""UM""=>""Air Zimbabwe"","
UN,TSO,Transaero Airlines,,"""UN""=>""Transaero Airlines"","
UO,HKE,Hong Kong Express Airways,,"""UO""=>""Hong Kong Express Airways"","
UP,BHS,Bahamasair,,"""UP""=>""Bahamasair"","
UQ,,Business Aviation Centre,O Connor,"""UQ""=>""Business Aviation Centre"","
UR,UGD,Uganda Airlines,,"""UR""=>""Uganda Airlines"","
US,AWE,US Airways,,"""US""=>""US Airways"","
UT,UTA,UTair Aviation,UTair,"""UT""=>""UTair Aviation"","
UU,REU,Air Austral,,"""UU""=>""Air Austral"","
UV,,Helicopteros Del Sureste,,"""UV""=>""Helicopteros Del Sureste"","
UX,AEA,Air Europa,,"""UX""=>""Air Europa"","
UY,SPD,Sky Prime Charter,,"""UY""=>""Sky Prime Charter"","
UZ,BRQ,Buraq Air,,"""UZ""=>""Buraq Air"","
V0,VCV,Conviasa,Conviasa,"""V0""=>""Conviasa"","
V1,,IBS Software Services Americas,,"""V1""=>""IBS Software Services Americas"","
V2,RBY,Vision Airlines,,"""V2""=>""Vision Airlines"","
V3,KRP,Carpatair,,"""V3""=>""Carpatair"","
V4,VES,Vieques Air Link,,"""V4""=>""Vieques Air Link"","
V5,DAP,Aerovias DAP,,"""V5""=>""Aerovias DAP"","
V6,,Air Link,,"""V6""=>""Air Link"","
V7,VOL,Volotea,,"""V7""=>""Volotea"","
V8,IAR,Iliamna Air,Contact Air,"""V8""=>""Iliamna Air"","
V9,,Van Air Europe,,"""V9""=>""Van Air Europe"","
VA,VOZ,Virgin Australia,,"""VA""=>""Virgin Australia"","
VB,VIV,Aeroenlaces Nacionales,,"""VB""=>""Aeroenlaces Nacionales"","
VC,SRY,ViaAir,,"""VC""=>""ViaAir"","
VD,,Hennan Airlines,,"""VD""=>""Hennan Airlines"","
VE,EFY,EasyFly,,"""VE""=>""EasyFly"","
VG,VLM,VLM Airlines,,"""VG""=>""VLM Airlines"","
VH,VVC,Viva Air Colombia,,"""VH""=>""Viva Air Colombia"","
VI,,Volga Dnepr Airline,,"""VI""=>""Volga Dnepr Airline"","
VJ,VJC,VietJet Air,,"""VJ""=>""VietJet Air"","
VK,FOO,Anisec Luftfahrt,,"""VK""=>""Anisec Luftfahrt"","
VL,VIM,Air VIA,,"""VL""=>""Air VIA"","
VN,HVN,Vietnam Airlines,,"""VN""=>""Vietnam Airlines"","
VO,WLM,VLM Airlines Slovenia,,"""VO""=>""VLM Airlines Slovenia"","
VP,VQI,Villa Air,,"""VP""=>""Villa Air"","
VQ,,Novoair,,"""VQ""=>""Novoair"","
VR,TCV,Tacv Cabo Verde Airlines,TACV,"""VR""=>""Tacv Cabo Verde Airlines"","
VS,VIR,Virgin Atlantic,,"""VS""=>""Virgin Atlantic"","
VT,VTA,Air Tahiti,,"""VT""=>""Air Tahiti"","
VU,VAR,Vuelos Economicos,,"""VU""=>""Vuelos Economicos"","
VV,VPE,Viva Airlines Peru,,"""VV""=>""Viva Airlines Peru"","
VW,TAO,Aeromar,,"""VW""=>""Aeromar"","
VX,VRD,Virgin America,,"""VX""=>""Virgin America"","
VY,VLG,Vueling,,"""VY""=>""Vueling"","
VZ,TVJ,Thai Vietjet Air,,"""VZ""=>""Thai Vietjet Air"","
W1,,WorldTicket,,"""W1""=>""WorldTicket"","
W2,FXT,Flexflight,Flexflight,"""W2""=>""Flexflight"","
W3,ARA,Arik Air,,"""W3""=>""Arik Air"","
W5,IRM,Mahan Airlines,,"""W5""=>""Mahan Airlines"","
W6,WZZ,Wizz Air,,"""W6""=>""Wizz Air"","
W7,SAH,Sayakhat Airlines,Sayakhat Air,"""W7""=>""Sayakhat Airlines"","
W8,WND,Caribbean Winds Airlines,La Costena,"""W8""=>""Caribbean Winds Airlines"","
W9,,Air Bagan,,"""W9""=>""Air Bagan"","
WA,KLC,KLM Cityhopper,,"""WA""=>""KLM Cityhopper"","
WB,RWD,Rwandair,,"""WB""=>""Rwandair"","
WC,ISV,Islena Airlines,Islena Air,"""WC""=>""Islena Airlines"","
WD,AAN,Amsterdam Airlines Bv,Das Air,"""WD""=>""Amsterdam Airlines Bv"","
WE,THD,Thai Smile Airways,Rheintalflg,"""WE""=>""Thai Smile Airways"","
WF,WIF,Widerøe,Wideroe,"""WF""=>""Widerøe"","
WG,SWG,Sunwing Airlines,Sunwing Airlines,"""WG""=>""Sunwing Airlines"","
WH,,West African Airlines,,"""WH""=>""West African Airlines"","
WI,WHT,White Airways,,"""WI""=>""White Airways"","
WJ,LAL,Air Labrador,Labrador Airways,"""WJ""=>""Air Labrador"","
WK,EDW,Edelweiss Air,,"""WK""=>""Edelweiss Air"","
WL,ECB,European Coastal Airlines,,"""WL""=>""European Coastal Airlines"","
